epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2512,1.03871,3.36291,0.92398,0.51433,0.6305,0.57705,0.41302,0.92673,1.18659,0.90955,0.000166458,0.000166458,0.000166458
2,110.935,0.98151,1.69402,0.92558,0.69002,0.74848,0.69905,0.50017,0.92646,0.9666,0.91227,0.000326528,0.000326528,0.000326528
3,163.714,0.97644,1.18481,0.92424,0.76508,0.75563,0.77185,0.55329,0.93448,0.85706,0.91093,0.000479999,0.000479999,0.000479999
4,216.256,0.94851,0.97208,0.91814,0.78721,0.75469,0.7957,0.57455,0.89641,0.80431,0.90332,0.0004703,0.0004703,0.0004703
5,268.705,0.9409,0.87197,0.91294,0.75988,0.80043,0.82491,0.60824,0.88873,0.75818,0.89678,0.0004604,0.0004604,0.0004604
6,321.075,0.92244,0.80317,0.90584,0.80625,0.82655,0.88979,0.65173,0.8672,0.68228,0.89172,0.0004505,0.0004505,0.0004505
7,373.443,0.90622,0.77197,0.90016,0.80712,0.89088,0.90253,0.66546,0.8603,0.64638,0.88283,0.0004406,0.0004406,0.0004406
8,425.9,0.90248,0.73086,0.89554,0.84417,0.88575,0.91859,0.68383,0.8532,0.60348,0.88106,0.0004307,0.0004307,0.0004307
9,478.3,0.88691,0.70795,0.89462,0.8531,0.88847,0.91672,0.67845,0.84777,0.6269,0.8792,0.0004208,0.0004208,0.0004208
10,530.671,0.88415,0.69533,0.89172,0.87034,0.86408,0.9278,0.6846,0.85346,0.58525,0.87571,0.0004109,0.0004109,0.0004109
11,583.08,0.87372,0.66794,0.89021,0.88552,0.88388,0.93976,0.70039,0.84086,0.57068,0.87487,0.000401,0.000401,0.000401
12,635.501,0.87567,0.65357,0.88948,0.85257,0.88063,0.92853,0.69243,0.83949,0.57233,0.87687,0.0003911,0.0003911,0.0003911
13,687.886,0.86766,0.64777,0.88738,0.86828,0.89244,0.93647,0.70092,0.83259,0.54456,0.8731,0.0003812,0.0003812,0.0003812
